Sample	Library	Std	Kind	Length	Occurences
*	*	+	se	29	1
*	*	+	se	30	5
*	*	+	se	31	24501
*	*	+	se	32	24883
*	*	+	se	33	24362
*	*	+	se	34	23552
*	*	+	se	35	23229
*	*	+	se	36	23034
*	*	+	se	37	22360
*	*	+	se	38	21419
*	*	+	se	39	19634
*	*	+	se	40	17717
*	*	+	se	41	16198
*	*	+	se	42	14419
*	*	+	se	43	12926
*	*	+	se	44	12243
*	*	+	se	45	11273
*	*	+	se	46	10522
*	*	+	se	47	9932
*	*	+	se	48	9221
*	*	+	se	49	8568
*	*	+	se	50	7871
*	*	+	se	51	7180
*	*	+	se	52	6412
*	*	+	se	53	5769
*	*	+	se	54	5167
*	*	+	se	55	5010
*	*	+	se	56	4552
*	*	+	se	57	4365
*	*	+	se	58	4060
*	*	+	se	59	3917
*	*	+	se	60	3401
*	*	+	se	61	3232
*	*	+	se	62	2914
*	*	+	se	63	2645
*	*	+	se	64	2385
*	*	+	se	65	2221
*	*	+	se	66	2153
*	*	+	se	67	1995
*	*	+	se	68	1853
*	*	+	se	69	1698
*	*	+	se	70	1608
*	*	+	se	71	1512
*	*	+	se	72	1322
*	*	+	se	73	1252
*	*	+	se	74	1149
*	*	+	se	75	1053
*	*	+	se	76	1076
*	*	+	se	77	932
*	*	+	se	78	934
*	*	+	se	79	857
*	*	+	se	80	788
*	*	+	se	81	786
*	*	+	se	82	692
*	*	+	se	83	656
*	*	+	se	84	599
*	*	+	se	85	563
*	*	+	se	86	518
*	*	+	se	87	515
*	*	+	se	88	509
*	*	+	se	89	481
*	*	+	se	90	450
*	*	+	se	91	446
*	*	+	se	92	408
*	*	+	se	93	424
*	*	+	se	94	382
*	*	+	se	95	389
*	*	+	se	96	345
*	*	+	se	97	336
*	*	+	se	98	378
*	*	+	se	99	463
*	*	+	se	100	786
*	*	+	se	101	3980
*	*	+	se	102	88
*	*	+	se	103	22
*	*	+	se	104	6
*	*	+	se	105	1
*	*	+	se	106	4
*	*	+	se	110	3
*	*	+	se	113	1
*	*	-	se	29	1
*	*	-	se	30	3
*	*	-	se	31	24868
*	*	-	se	32	25154
*	*	-	se	33	24270
*	*	-	se	34	23568
*	*	-	se	35	23198
*	*	-	se	36	22729
*	*	-	se	37	22319
*	*	-	se	38	21167
*	*	-	se	39	19682
*	*	-	se	40	17946
*	*	-	se	41	16133
*	*	-	se	42	14691
*	*	-	se	43	12829
*	*	-	se	44	12189
*	*	-	se	45	11158
*	*	-	se	46	10562
*	*	-	se	47	10093
*	*	-	se	48	9446
*	*	-	se	49	8726
*	*	-	se	50	7815
*	*	-	se	51	7183
*	*	-	se	52	6273
*	*	-	se	53	5934
*	*	-	se	54	5306
*	*	-	se	55	4935
*	*	-	se	56	4605
*	*	-	se	57	4397
*	*	-	se	58	4279
*	*	-	se	59	3845
*	*	-	se	60	3378
*	*	-	se	61	3148
*	*	-	se	62	2902
*	*	-	se	63	2622
*	*	-	se	64	2346
*	*	-	se	65	2243
*	*	-	se	66	2147
*	*	-	se	67	1968
*	*	-	se	68	1853
*	*	-	se	69	1698
*	*	-	se	70	1619
*	*	-	se	71	1581
*	*	-	se	72	1353
*	*	-	se	73	1247
*	*	-	se	74	1184
*	*	-	se	75	1101
*	*	-	se	76	1016
*	*	-	se	77	943
*	*	-	se	78	954
*	*	-	se	79	848
*	*	-	se	80	845
*	*	-	se	81	715
*	*	-	se	82	678
*	*	-	se	83	691
*	*	-	se	84	615
*	*	-	se	85	536
*	*	-	se	86	529
*	*	-	se	87	503
*	*	-	se	88	487
*	*	-	se	89	513
*	*	-	se	90	479
*	*	-	se	91	440
*	*	-	se	92	393
*	*	-	se	93	335
*	*	-	se	94	358
*	*	-	se	95	364
*	*	-	se	96	305
*	*	-	se	97	372
*	*	-	se	98	352
*	*	-	se	99	466
*	*	-	se	100	737
*	*	-	se	101	3914
*	*	-	se	102	80
*	*	-	se	103	20
*	*	-	se	104	10
*	*	-	se	105	1
*	*	-	se	106	1
*	*	-	se	107	1
