Sample	Library	Std	Kind	Length	Occurences
*	*	+	se	28	1
*	*	+	se	29	3
*	*	+	se	30	12
*	*	+	se	31	1440
*	*	+	se	32	1408
*	*	+	se	33	1345
*	*	+	se	34	1223
*	*	+	se	35	1210
*	*	+	se	36	1333
*	*	+	se	37	1257
*	*	+	se	38	1258
*	*	+	se	39	1120
*	*	+	se	40	988
*	*	+	se	41	941
*	*	+	se	42	880
*	*	+	se	43	713
*	*	+	se	44	704
*	*	+	se	45	653
*	*	+	se	46	686
*	*	+	se	47	634
*	*	+	se	48	566
*	*	+	se	49	586
*	*	+	se	50	515
*	*	+	se	51	441
*	*	+	se	52	434
*	*	+	se	53	387
*	*	+	se	54	336
*	*	+	se	55	305
*	*	+	se	56	282
*	*	+	se	57	269
*	*	+	se	58	310
*	*	+	se	59	253
*	*	+	se	60	265
*	*	+	se	61	207
*	*	+	se	62	201
*	*	+	se	63	156
*	*	+	se	64	158
*	*	+	se	65	157
*	*	+	se	66	149
*	*	+	se	67	145
*	*	+	se	68	125
*	*	+	se	69	108
*	*	+	se	70	115
*	*	+	se	71	81
*	*	+	se	72	108
*	*	+	se	73	90
*	*	+	se	74	78
*	*	+	se	75	74
*	*	+	se	76	71
*	*	+	se	77	75
*	*	+	se	78	56
*	*	+	se	79	57
*	*	+	se	80	58
*	*	+	se	81	62
*	*	+	se	82	43
*	*	+	se	83	43
*	*	+	se	84	54
*	*	+	se	85	40
*	*	+	se	86	41
*	*	+	se	87	29
*	*	+	se	88	32
*	*	+	se	89	40
*	*	+	se	90	28
*	*	+	se	91	39
*	*	+	se	92	32
*	*	+	se	93	34
*	*	+	se	94	29
*	*	+	se	95	25
*	*	+	se	96	24
*	*	+	se	97	37
*	*	+	se	98	20
*	*	+	se	99	44
*	*	+	se	100	73
*	*	+	se	101	283
*	*	+	se	102	11
*	*	+	se	103	2
*	*	+	se	104	1
*	*	+	se	115	1
*	*	-	se	27	1
*	*	-	se	28	2
*	*	-	se	30	7
*	*	-	se	31	1398
*	*	-	se	32	1297
*	*	-	se	33	1276
*	*	-	se	34	1247
*	*	-	se	35	1228
*	*	-	se	36	1341
*	*	-	se	37	1273
*	*	-	se	38	1270
*	*	-	se	39	1194
*	*	-	se	40	967
*	*	-	se	41	1032
*	*	-	se	42	814
*	*	-	se	43	713
*	*	-	se	44	696
*	*	-	se	45	597
*	*	-	se	46	683
*	*	-	se	47	611
*	*	-	se	48	626
*	*	-	se	49	540
*	*	-	se	50	527
*	*	-	se	51	468
*	*	-	se	52	425
*	*	-	se	53	372
*	*	-	se	54	334
*	*	-	se	55	294
*	*	-	se	56	253
*	*	-	se	57	285
*	*	-	se	58	316
*	*	-	se	59	262
*	*	-	se	60	228
*	*	-	se	61	229
*	*	-	se	62	181
*	*	-	se	63	159
*	*	-	se	64	165
*	*	-	se	65	155
*	*	-	se	66	183
*	*	-	se	67	115
*	*	-	se	68	103
*	*	-	se	69	110
*	*	-	se	70	92
*	*	-	se	71	112
*	*	-	se	72	90
*	*	-	se	73	106
*	*	-	se	74	81
*	*	-	se	75	79
*	*	-	se	76	77
*	*	-	se	77	76
*	*	-	se	78	67
*	*	-	se	79	72
*	*	-	se	80	53
*	*	-	se	81	50
*	*	-	se	82	48
*	*	-	se	83	42
*	*	-	se	84	43
*	*	-	se	85	44
*	*	-	se	86	36
*	*	-	se	87	31
*	*	-	se	88	32
*	*	-	se	89	33
*	*	-	se	90	37
*	*	-	se	91	40
*	*	-	se	92	33
*	*	-	se	93	31
*	*	-	se	94	31
*	*	-	se	95	23
*	*	-	se	96	20
*	*	-	se	97	22
*	*	-	se	98	26
*	*	-	se	99	40
*	*	-	se	100	66
*	*	-	se	101	315
*	*	-	se	102	7
*	*	-	se	103	2
